浙江中外运有限公司宁波泛洲分公司
宁波富邦物流股份有限公司
宁波远洋运输有限公司
宁波杰华国际物流有限公司
上海中谷物流股份有限公司
宁波纳斯国际货运代理有限公司
上海泛亚航运有限公司
中外运物流有限公司
上海申丝企业发展有限公司
宁波金沃国际物流有限公司
宁波集扬物流集团有限公司
上海昂泰国际货运代理有限公司
信风（宁波）海运物流有限公司
嘉兴市福光复兴纸业有限公司
中国外运华东有限公司
宁波新博纸品有限公司
宁波港通顺达物流有限公司
四平芙蓉纸品有限责任公司
上海汇都纸业有限公司
江苏建发纸业有限公司
安徽创源文化发展有限公司
安璐仓库--镇海平海路1199号
上海启润实业有限公司
武汉嘉鑫盛纸业有限公司
武汉金叠包装材料有限公司
武汉鑫亚泰科技有限公司
武汉鑫韵升印刷物资有限公司
厦门建发纸业有限公司
嘉兴福光--嘉兴福光
武汉市金润纸业有限公司
宁波联合集团进出口股份有限公司
厦门国贸集团股份有限公司
宁波新优胜纸制品有限公司
宁波百森云集纸业有限公司
广州准彩包装材料有限公司
